ID,E_Total_population_SX_AGE_2010,E_HSPNC_Total_population_2010,E_NOTHSPNC_White_alone_2010,P_NOTHSPNC_White_alone_2010,E_Under35_SX_AGE_2010,E_Total_population_SX_AGE_2011,E_HSPNC_Total_population_2011,E_NOTHSPNC_White_alone_2011,P_NOTHSPNC_White_alone_2011,E_Under35_SX_AGE_2011,E_Total_population_SX_AGE_2012,E_HSPNC_Total_population_2012,E_NOTHSPNC_White_alone_2012,P_NOTHSPNC_White_alone_2012,E_Under35_SX_AGE_2012,E_Total_population_SX_AGE_2013,E_HSPNC_Total_population_2013,E_NOTHSPNC_White_alone_2013,P_NOTHSPNC_White_alone_2013,E_Under35_SX_AGE_2013,E_Total_population_SX_AGE_2014,E_HSPNC_Total_population_2014,E_NOTHSPNC_White_alone_2014,P_NOTHSPNC_White_alone_2014,E_Under35_SX_AGE_2014,E_Total_population_SX_AGE_2015,E_HSPNC_Total_population_2015,E_NOTHSPNC_White_alone_2015,P_NOTHSPNC_White_alone_2015,E_Under35_SX_AGE_2015,E_Total_population_SX_AGE_2016,E_HSPNC_Total_population_2016,E_NOTHSPNC_White_alone_2016,P_NOTHSPNC_White_alone_2016,E_Under35_SX_AGE_2016,E_Total_population_SX_AGE_2017,E_HSPNC_Total_population_2017,E_NOTHSPNC_White_alone_2017,P_NOTHSPNC_White_alone_2017,E_Under35_SX_AGE_2017,E_Total_population_SX_AGE_2018,E_HSPNC_Total_population_2018,E_NOTHSPNC_White_alone_2018,P_NOTHSPNC_White_alone_2018,E_Under35_SX_AGE_2018,E_Total_population_SX_AGE_2019,E_HSPNC_Total_population_2019,E_NOTHSPNC_White_alone_2019,P_NOTHSPNC_White_alone_2019,E_Under35_SX_AGE_2019
771,167985.3837,167985.3837,24625.55378,575.9844233,91651.21372,171271.9396,171271.9396,24362.51814,565.974194,92866.63793,173412.552,173412.552,23874.63018,554.9883927,11581.08735,175123.902,175123.902,23454.77063,567.176955,94714.63014,176946.5636,146.9399261,22955.75717,546.6797528,95456.87467,178125.8485,178125.8485,22435.74721,524.9787439,95673.27861,178729.621,178729.621,21332.55657,501.978182,96143.3798,179884.7389,6494.526728,145172.8351,2320.674741,81630.26628,180142.2047,6240.572503,145279.1209,2316.672895,92730.8332,180626.889,6167.567372,146699.6056,2309.672836,92069.90367
800,734859.5261,734859.5261,277220.0209,5518.713873,416385.774,747348.5286,747348.5286,275124.7525,5387.954421,422336.9296,757693.6641,757693.6641,273496.4794,5276.298337,47877.04577,765296.6723,765296.6723,271149.4679,5226.813777,433199.5393,775110.516,572.2543192,269825.8121,5102.488197,437301.3752,781658.5833,781658.5833,268733.0205,5038.519599,439651.3337,786447.9403,786447.9403,265412.8517,4953.973952,441748.3074,793655.5595,45843.571,405279.0387,6650.422336,625769.6818,797967.8365,46417.43045,410421.6203,6691.343616,622680.4942,801460.3241,46982.59567,416650.1144,6777.251274,629712.4036
802,146466.2535,146466.2535,112039.4519,2539.920012,68405.22247,147159.9595,147159.9595,111878.1108,2520.386011,68802.77044,148125.755,148125.755,111705.2158,2480.600073,9164.335657,148571.6337,148571.6337,111301.1989,2488.510608,69201.96082,148748.2184,132.9099889,110602.2273,2487.321631,69150.88916,148895.4416,148895.4416,109833.0028,2479.36851,69137.46818,148782.8619,148782.8619,109224.8778,2470.032265,68720.4093,149142.5449,3568.1313,15041.67245,318.4496879,51572.68594,149051.2471,4249.71586,14911.01313,327.6962916,51217.31409,149173.3408,4472.996604,14732.84632,322.1594311,50683.41453
803,17232800,17232800,5889896.511,132480.016,8841096.679,17349784.48,17349784.48,5847765.156,130575.4647,8842952.001,17488150.89,17488150.89,5812195.69,126980.6855,1040166.072,17626374.92,17626374.92,5790361.089,127226.0692,8872663.023,17798253.03,15496.25839,5770132.097,125444.3016,8891792.09,17936510.57,17936510.57,5743710.438,123828.5411,8895084.366,18011449.85,18011449.85,5707093.72,122375.2066,8882033.403,18134459,1417702.503,6724382.218,137955.9499,6734462.237,18177801.99,1423292.527,6746396.493,138235.9206,6685469.637,18205975.15,1426922.518,6780586.279,138637.4268,6613098.58
804,410493.1705,410493.1705,182151.9968,5492.125412,182554.4139,418092.776,418092.776,180557.983,5403.788119,186848.3994,424276.8402,424276.8402,180383.7023,5298.236065,35407.42831,428626.1516,428626.1516,177026.4895,5213.129881,192169.3553,438022.9539,379.5599074,175646.0114,5116.978407,195510.3968,445888.2506,445888.2506,178546.9571,5111.880772,197530.9895,445821.6697,445821.6697,180312.6577,5119.511033,191466.5376,445741.465,15425.63114,213540.5623,4200.835442,143436.4191,445384.0361,15581.21596,210745.1058,4188.019148,135724.8639,446922.567,16462.7075,208093.5419,4124.166343,130478.965
807,6770027.692,6770027.692,2988302.315,69140.65299,3113809.187,6845373.792,6845373.792,2978486.674,68303.53575,3135211.273,6931912.011,6931912.011,2973812.778,66865.30773,416574.917,7014232.344,7014232.344,2974821.777,66933.30686,3187562.65,7111593.631,6353.500118,2976171.117,66187.27532,3216959.326,7203225.798,7203225.798,2982417.558,65598.462,3244963.698,7271571.995,7271571.995,2984045.488,65157.54809,3269799.063,7363930.254,528248.3891,1285605.127,25404.73041,2312319.356,7404871.362,525843.8059,1282543.516,25199.71325,2300595.245,7435040.569,523760.5233,1270458.372,24972.55989,2283095.112
811,80638.20192,80638.20192,55024.07575,1648.114238,37910.81429,80061.26006,80061.26006,53726.00681,1633.128521,37761.3102,79703.96496,79703.96496,52776.86887,1612.166547,7622.283335,78698.7142,78698.7142,51967.92281,1632.217857,35747.94226,78023.74409,75.68172469,51586.11269,1654.021884,35290.45868,77459.26338,77459.26338,50609.28205,1655.790028,35034.41599,76933.30274,76933.30274,50462.99428,1635.883685,34949.20643,76440.14562,3376.609692,14385.09312,336.3790555,25628.39746,76696.28075,3350.744236,14550.29905,330.435057,25472.48354,76379.88797,3483.142107,15062.88763,335.2962442,25336.26919
813,44691.07417,44691.07417,35854.82906,1100.030863,16571.36761,44688.06442,44688.06442,35688.82404,1094.030851,16638.34823,44674.03341,44674.03341,35501.77179,1091.029669,5553.189989,44503.99431,44503.99431,35153.72268,1082.729463,16703.32363,44262.08955,44.00099553,34749.76214,1076.328484,16616.41467,43896.06596,43896.06596,34244.74752,1065.02856,16387.42989,43669.10055,43669.10055,33896.77386,1057.028385,16395.43043,43531.16939,1009.015511,4422.215837,184.0070385,13245.39828,43541.07444,1083.01262,4463.204111,186.0070966,13202.32749,43468.97972,1095.029741,4679.099695,191.0042148,13220.24941
825,2990750.389,2990750.389,1479529.266,31300.95654,1517249.952,3029859.078,3029859.078,1479492.271,30905.09623,1532574.347,3068642.829,3068642.829,1481614.633,30253.07737,179432.8746,3105696.744,3105696.744,1484037.64,30300.4955,1560674.516,3150168.876,2630.231858,1488969.654,30015.53107,1576890.029,3190784.019,3190784.019,1493783.792,29735.86406,1590189.861,3220555.993,3220555.993,1497908.491,29500.06682,1597879.312,3250558.683,205564.3093,971647.2692,18478.9054,1142294.507,3270001.352,209428.3175,981603.6347,18613.90786,1136602.676,3283421.556,210926.8896,988368.5212,18656.93494,1128150.201
828,698801.3384,698801.3384,303003.4532,7039.248977,358496.425,705134.3776,705134.3776,300903.892,7000.812503,361294.2876,713552.5342,713552.5342,300930.9805,6888.846293,48787.74241,720294.0081,720294.0081,299640.9546,6889.496959,367285.1029,727472.1163,645.5605649,299019.0402,6829.63749,369355.9556,734207.5709,734207.5709,298435.6279,6740.719321,371458.0922,737743.5661,737743.5661,297432.443,6671.323335,371668.0309,743534.5375,20984.92267,344506.8982,6396.153118,299868.8605,745160.5879,20823.50936,346227.4712,6284.86594,301959.4094,746764.631,21905.68957,348426.3448,6312.551281,309798.8108
855,670223.0997,670223.0997,390969.841,8295.833412,331081.9268,676481.0332,676481.0332,388284.3152,8149.291224,335002.4244,682552.9025,682552.9025,388028.4715,8042.962441,46200.8569,688205.4038,688205.4038,386906.2652,8074.551436,340236.6068,694376.4591,636.6435322,386496.2968,8014.26662,342986.9175,700817.662,700817.662,386949.8663,7989.592914,346407.1732,706242.6913,706242.6913,387990.3386,7949.25146,348418.9304,711297.4343,19565.63062,232534.8483,4267.995499,344462.5531,713408.7219,19666.33393,234557.12,4266.642683,329346.0494,715294.3742,19843.70559,236727.8923,4294.333048,298196.8475
862,3970925.444,3970925.444,2117304.157,47539.76527,1970655.523,4007011.151,4007011.151,2109213.883,47064.88682,1981037.716,4040853.13,4040853.13,2105708.367,46202.01016,248761.5072,4072920.835,4072920.835,2101150.507,46176.27559,1995399.438,4111138.997,3504.295508,2096165.717,45646.2074,2001629.101,4149413.557,4149413.557,2093443.889,45238.19644,2009271.868,4182882.771,4182882.771,2093004.803,44904.32444,2013942.982,4228734.59,342462.5562,1019719.292,20285.9863,1588365.561,4268680.391,348733.2041,1039581.769,20543.97393,1634721.718,4312048.091,355480.111,1055559.985,20735.65342,1639243.562
866,1906056.353,1906056.353,667673.7994,14088.63531,1068158.658,1930673.193,1930673.193,662402.5417,13913.60699,1079367.814,1949554.431,1949554.431,655867.1447,13472.62129,122167.7527,1966228.439,1966228.439,650198.6575,13407.93608,1093335.297,1983319.207,1653.969504,644534.8356,13142.35188,1097911.04,1996611.915,1996611.915,638364.6195,12914.66933,1099924.355,2005171.991,2005171.991,631318.2111,12693.67039,1100301.551,2020066.562,98064.76914,1068822.963,19533.95286,843824.1242,2030278.263,99027.71004,1079721.347,19665.93967,1354022.815,2041310.829,98244.67516,1089178.982,19791.93147,976266.6842
868,509357.8723,509357.8723,394281.4579,9770.001408,231087.3935,510850.7424,510850.7424,392537.3843,9703.001801,231427.3717,512310.8417,512310.8417,391943.4486,9621.001358,35628.96987,512909.8042,512909.8042,390148.4278,9635.701888,231272.3574,514251.7552,462.0005163,388502.3797,9570.701519,231826.3351,515244.7292,515244.7292,387063.3711,9509.001772,231229.2958,516309.8317,516309.8317,386288.4431,9457.002184,231023.3783,517362.8147,11034.05857,70708.24215,1566.003855,180862.2929,519230.8917,11688.058,71393.26867,1587.004097,179723.3569,518524.9656,12110.05977,72382.36823,1590.006552,178588.4181
