FastFood,ID,McDonalds_2010,McDonalds_2011,McDonalds_2012,McDonalds_2013,McDonalds_2014,McDonalds_2015,McDonalds_2016,McDonalds_2017,McDonalds_2018,McDonalds_2019,McDonalds_2020,McDonalds_2021,McDonalds_2022,Taco Bell_2010,Taco Bell_2011,Taco Bell_2012,Taco Bell_2013,Taco Bell_2014,Taco Bell_2015,Taco Bell_2016,Taco Bell_2017,Taco Bell_2018,Taco Bell_2019,Taco Bell_2020,Taco Bell_2021,Taco Bell_2022,Burger King_2010,Burger King_2011,Burger King_2012,Burger King_2013,Burger King_2014,Burger King_2015,Burger King_2016,Burger King_2017,Burger King_2018,Burger King_2019,Burger King_2020,Burger King_2021,Burger King_2022,Carls Junior_2010,Carls Junior_2011,Carls Junior_2012,Carls Junior_2013,Carls Junior_2014,Carls Junior_2015,Carls Junior_2016,Carls Junior_2017,Carls Junior_2018,Carls Junior_2019,Carls Junior_2020,Carls Junior_2021,Carls Junior_2022,Jack in the Box_2010,Jack in the Box_2011,Jack in the Box_2012,Jack in the Box_2013,Jack in the Box_2014,Jack in the Box_2015,Jack in the Box_2016,Jack in the Box_2017,Jack in the Box_2018,Jack in the Box_2019,Jack in the Box_2020,Jack in the Box_2021,Jack in the Box_2022,KFC_2010,KFC_2011,KFC_2012,KFC_2013,KFC_2014,KFC_2015,KFC_2016,KFC_2017,KFC_2018,KFC_2019,KFC_2020,KFC_2021,KFC_2022
"Bakersfield, CA",800,NA,0,0,0,0,0,0,0.184188295,0.118994154,0.072846584,0.168197858,0.167543354,0.222804985,NA,0,0,0,0,0,0,0,0,0,0.079545653,0,0.039898418,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0
"Chico-Redding, CA",868,NA,0,0,0,0,0,0,0,0,0,0.08218562,0.096152038,0,NA,0,0,0,0,0,0,0,0,0,0,0.168625473,0.06500231,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0
"Eureka, CA",802,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0
"Fresno-Visalia, CA",866,NA,0,0,0,0,0.060784467,0.065086256,0.113807402,0.244533912,0.160576539,0.112219602,0.121604047,0.164290544,NA,0,0,0,0,0,0.07288976,0,0.068779312,0.086891338,0.067623874,0.050756267,0.040712672,NA,0,0,0,0,0,0,0,0.033956225,0.08532452,0.097646737,0,0.061317825,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.068370396,0.048971182,0,0.035385087,NA,NA,0,0,NA,0,0,0,0,0.045453097,0.041576962,0.043895647,0.038255903
"Los Angeles, CA",803,NA,0,0.039719195,0.144259835,0.023683175,0.110929759,0.15165805,0.281190803,0.259181821,0.262843721,0.228328255,0.230022114,0.27917733,NA,0.009963353,0,0,0.034627586,0.082616287,0.034583022,0.05033932,0.044354658,0.036242377,0.036843642,0.037597235,0.0204026,NA,0,0,0,0,0.023282262,0.038358018,0.041428543,0.013673926,0.041382392,0.053261857,0.042820608,0.029294591,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0.019230769,0,0,0.019573607,0.051993285,0.047369146,0.048413077,0.043406275,0.057411266,0.053254555,NA,NA,0,0,NA,0,0,0,0.021702549,0.016617261,0.032826462,0.020625666,0.021557201
"Medford-Klamath Falls, OR",813,NA,0,0,0,0,0,0,0,0,0,0,0,0.147956435,NA,0,0,0,0,0,0,0,0,0,0.125183032,0,0.062341278,NA,0,0,0,0,0,0,0,0.123524966,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0
"Monterey-Salinas, CA",828,NA,0,0,0,0,0,0,0,0.274803739,0.084285304,0,0.056637502,0.120951277,NA,0,0,0,0,0,0,0,0,0,0,0,0.042316504,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0
"Palm Springs, CA",804,NA,0,0,0,0,0,0.085315767,0,0,0,0.296440669,0,0.082756137,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0
"Reno, NV",811,NA,0,0,0,0,0,0,0.068558676,0.079353928,0,0,0.087210984,0.052769602,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0
"Sacramento-Stockton-Modesto, CA",862,NA,0,0,0,0.088346224,0.059969156,0.121187615,0.065619288,0.25249979,0.12537439,0.122929067,0.268729932,0.151097633,NA,0.044090701,0,0,0.058714804,0.107786124,0.061763599,0.079538953,0.071117808,0.056508991,0.068618847,0.0605771,0.038216876,NA,0,0,0,0,0,0,0.061608871,0.020999244,0.068657151,0.06630334,0.054880842,0.043514512,NA,NA,NA,0,NA,NA,NA,NA,0.01754386,0,NA,NA,NA,NA,NA,0,0,0,0,0.029569325,0.031690535,0.050921832,0.033159642,0.030833707,0.061962859,0.038720233,NA,NA,0,0,NA,0,0,0,0.026767279,0.01940694,0.041861159,0.01639476,0.029734071
"San Diego, CA",825,NA,0,0,0,0.031876273,0,0.205184421,0.068849003,0.199014612,0.084987682,0.248048733,0.105390174,0.130500062,NA,0,0,0,0,0,0,0,0,0.035118582,0.042562231,0.04115373,0.020434529,NA,0,0,0,0,0.036068878,0,0,0.013090438,0.053205933,0.063338424,0.036325184,0.025390761,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0.073679667,0.083977459,0.049739463,0.060221318,0.056227107,0.06977341,NA,NA,0,0,NA,0.028238562,0,0,0,0.022726549,0.030519738,0.018143534,0
"San Francisco-Oakland-San Jose, CA",807,NA,0,0.0684591,0.108694872,0.169938237,0.120014223,0.099644705,0.264367422,0.181632324,0.197682946,0.134119373,0.246366642,0.269626322,NA,0,0,0,0.047199126,0.116736465,0.034073767,0.049814952,0.046648045,0.138536752,0.035051249,0.038268614,0.022779071,NA,0,0,0,0,0.040228213,0.059883551,0.045354778,0.015948793,0.051371245,0.059379773,0.060216479,0.043544542,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.014257402,0.021367103,0.034377608,0.101384652,0.0218385,0.049630528,0.039487705,NA,NA,0,0,NA,0.01060005,0,0,0.02479971,0.019785466,0.025069784,0.019241928,0.031513993
"Santa Barbara-Santa Maria-San Luis Obispo, CA",855,NA,0,0,0,0,0,0,0,0.118878062,0,0.047590745,0.143154132,0.123285425,NA,0,0,0,0,0,0,0,0,0,0,0,0.027404974,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0
"Yuma AZ-El Centro, CA",771,NA,0,0,0,0,0,0,0.299493163,0.139310229,0.356591672,0,0.270231217,0.1801402,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0.04712594,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0
